title,author,is_loaned,copies,genre,year,popularity
To Kill a Mockingbird,Harper Lee,No,15,Fiction,1960,0
1984,George Orwell,Yes,5,Dystopian,1949,0
The Great Gatsby,F. Scott Fitzgerald,No,4,Classic,1925,0
Moby Dick,Herman Melville,No,1,Adventure,1851,0
Pride and Prejudice,Jane Austen,No,11,Romance,1813,0
War and Peace,Leo Tolstoy,No,2,Historical Fiction,1869,0
Great Expectations,Charles Dickens,No,3,Classic,1861,0
Crime and Punishment,Fyodor Dostoevsky,Yes,1,Psychological Drama,1866,0
The Brothers Karamazov,Fyodor Dostoevsky,No,3,Philosophy,1880,0
The Divine Comedy,Dante Alighieri,Yes,1,Epic Poetry,1320,0
Jane Eyre,Charlotte Brontë,No,2,Gothic Fiction,1847,0
Wuthering Heights,Emily Brontë,No,4,Gothic Romance,1847,0
Anna Karenina,Leo Tolstoy,Yes,2,Fiction,1877,0
Madame Bovary,Gustave Flaubert,No,3,Realism,1857,0
The Iliad,Homer,Yes,1,Epic Poetry,-750,0
The Sound and the Fury,William Faulkner,No,2,Modernism,1929,1
Invisible Man,Ralph Ellison,Yes,1,Fiction,1952,0
Beloved,Toni Morrison,Yes,3,Historical Fiction,1987,0
Catch-22,Joseph Heller,No,4,Satire,1961,0
Slaughterhouse-Five,Kurt Vonnegut,Yes,2,Science Fiction,1969,0
Brave New World,Aldous Huxley,No,5,Dystopian,1932,0
Heart of Darkness,Joseph Conrad,Yes,3,Adventure,1899,0
The Grapes of Wrath,John Steinbeck,No,2,Fiction,1939,0
Of Mice and Men,John Steinbeck,Yes,1,Tragedy,1937,0
The Old Man and the Sea,Ernest Hemingway,No,3,Fiction,1952,0
The Hobbit,J.R.R. Tolkien,Yes,4,Fantasy,1937,0
The Lord of the Rings,J.R.R. Tolkien,Yes,2,Fantasy,1954,0
Harry Potter and the Philosopher's Stone,J.K. Rowling,No,7,Fantasy,1997,0
A Game of Thrones,George R.R. Martin,Yes,5,Fantasy,1996,0
The Name of the Wind,Patrick Rothfuss,No,3,Fantasy,2007,0
Mistborn: The Final Empire,Brandon Sanderson,Yes,4,Fantasy,2006,0
The Handmaid's Tale,Margaret Atwood,No,3,Dystopian,1985,0
The Odyssey,Homer,Yes,2,Epic Poetry,-800,0
itay segev life story,itay segev,No,6,Realism,1999,28
salome timsit life story,salome timsit,No,6,Realism,2002,0
a,a,No,1,Drama,2002,6
as,as,No,1,Drama,1999,0
